[Tue Jul 31 00:36:05 2018] [notice] Apache/2.2.11 (Win32) PHP/5.3.0 configured -- resuming normal operations
[Tue Jul 31 00:36:05 2018] [notice] Server built: Dec 10 2008 00:10:06
[Tue Jul 31 00:36:05 2018] [notice] Parent: Created child process 13020
[Tue Jul 31 00:36:05 2018] [notice] Child 13020: Child process is running
[Tue Jul 31 00:36:06 2018] [notice] Child 13020: Acquired the start mutex.
[Tue Jul 31 00:36:06 2018] [notice] Child 13020: Starting 64 worker threads.
[Tue Jul 31 00:36:06 2018] [notice] Child 13020: Starting thread to listen on port 80.
[Tue Jul 31 12:07:39 2018] [error] [client 127.0.0.1] File does not exist: C:/wamp/www/facebook home page/sr.png, referer: http://localhost/facebook%20home%20page/ust.css
[Tue Jul 31 12:08:50 2018] [error] [client 127.0.0.1] File does not exist: C:/wamp/www/facebook home page/sr.png, referer: http://localhost/facebook%20home%20page/ust.css
[Tue Jul 31 12:10:11 2018] [error] [client 127.0.0.1] File does not exist: C:/wamp/www/facebook home page/sr.png, referer: http://localhost/facebook%20home%20page/ust.css
[Tue Jul 31 12:12:38 2018] [error] [client 127.0.0.1] File does not exist: C:/wamp/www/facebook home page/sr.png, referer: http://localhost/facebook%20home%20page/ust.css
[Tue Jul 31 12:14:25 2018] [error] [client 127.0.0.1] File does not exist: C:/wamp/www/facebook home page/sr.png, referer: http://localhost/facebook%20home%20page/style.css
[Tue Jul 31 12:17:58 2018] [error] [client 127.0.0.1] File does not exist: C:/wamp/www/facebook home page
[Tue Jul 31 12:18:32 2018] [error] [client 127.0.0.1] File does not exist: C:/wamp/www/facebook home page
[Tue Jul 31 12:18:33 2018] [error] [client 127.0.0.1] File does not exist: C:/wamp/www/facebook home page
[Tue Jul 31 12:18:34 2018] [error] [client 127.0.0.1] File does not exist: C:/wamp/www/facebook home page
[Tue Jul 31 12:18:34 2018] [error] [client 127.0.0.1] File does not exist: C:/wamp/www/facebook home page
[Tue Jul 31 12:18:54 2018] [error] [client 127.0.0.1] File does not exist: C:/wamp/www/facebook home page/frn.png, referer: http://localhost/facebook%20home%20page/facebookHomePage.php
[Tue Jul 31 12:18:54 2018] [error] [client 127.0.0.1] File does not exist: C:/wamp/www/facebook home page/chat.png, referer: http://localhost/facebook%20home%20page/facebookHomePage.php
[Tue Jul 31 12:18:54 2018] [error] [client 127.0.0.1] File does not exist: C:/wamp/www/facebook home page/set.png, referer: http://localhost/facebook%20home%20page/facebookHomePage.php
[Tue Jul 31 12:18:54 2018] [error] [client 127.0.0.1] File does not exist: C:/wamp/www/facebook home page/sr.png, referer: http://localhost/facebook%20home%20page/style.css
[Tue Jul 31 12:19:56 2018] [error] [client 127.0.0.1] File does not exist: C:/wamp/www/facebook home page/frn.png, referer: http://localhost/facebook%20home%20page/facebookHomePage.php
[Tue Jul 31 12:19:56 2018] [error] [client 127.0.0.1] File does not exist: C:/wamp/www/facebook home page/chat.png, referer: http://localhost/facebook%20home%20page/facebookHomePage.php
[Tue Jul 31 12:19:56 2018] [error] [client 127.0.0.1] File does not exist: C:/wamp/www/facebook home page/set.png, referer: http://localhost/facebook%20home%20page/facebookHomePage.php
[Tue Jul 31 12:19:56 2018] [error] [client 127.0.0.1] File does not exist: C:/wamp/www/facebook home page/sr.png, referer: http://localhost/facebook%20home%20page/style.css
[Tue Jul 31 12:21:23 2018] [error] [client 127.0.0.1] File does not exist: C:/wamp/www/facebook home page/frn.png, referer: http://localhost/facebook%20home%20page/facebookHomePage.php
[Tue Jul 31 12:21:23 2018] [error] [client 127.0.0.1] File does not exist: C:/wamp/www/facebook home page/chat.png, referer: http://localhost/facebook%20home%20page/facebookHomePage.php
[Tue Jul 31 12:21:23 2018] [error] [client 127.0.0.1] File does not exist: C:/wamp/www/facebook home page/sr.png, referer: http://localhost/facebook%20home%20page/style.css
[Tue Jul 31 12:22:21 2018] [error] [client 127.0.0.1] File does not exist: C:/wamp/www/facebook home page/frn.png, referer: http://localhost/facebook%20home%20page/facebookHomePage.php
[Tue Jul 31 12:22:21 2018] [error] [client 127.0.0.1] File does not exist: C:/wamp/www/facebook home page/sr.png, referer: http://localhost/facebook%20home%20page/style.css
[Tue Jul 31 12:23:19 2018] [error] [client 127.0.0.1] File does not exist: C:/wamp/www/facebook home page/sr.png, referer: http://localhost/facebook%20home%20page/style.css
[Tue Jul 31 12:40:21 2018] [error] [client 127.0.0.1] script 'C:/wamp/www/facebook home page/facaebookHomePage.php' not found or unable to stat
[Tue Jul 31 12:40:21 2018] [error] [client 127.0.0.1] File does not exist: C:/wamp/www/favicon.ico, referer: http://localhost/facebook%20home%20page/facaebookHomePage.php
[Tue Jul 31 12:40:34 2018] [error] [client 127.0.0.1] File does not exist: C:/wamp/www/facebook home page/sr.png, referer: http://localhost/facebook%20home%20page/style.css
[Tue Jul 31 12:41:07 2018] [error] [client 127.0.0.1] File does not exist: C:/wamp/www/facebook home page/sr.png, referer: http://localhost/facebook%20home%20page/style.css
